iter	Passed	Remaining
162	332	1708
163	333	1699
164	334	1691
165	335	1683
166	335	1675
167	336	1666
168	337	1658
169	338	1650
170	338	1642
171	339	1635
172	340	1627
173	341	1620
174	342	1612
175	342	1605
176	343	1597
177	344	1590
178	345	1582
179	345	1575
180	346	1566
181	347	1559
182	347	1553
183	348	1546
184	349	1539
185	350	1532
186	351	1526
187	351	1519
188	352	1512
189	353	1506
190	354	1499
191	354	1493
192	355	1487
193	356	1481
194	357	1475
195	358	1469
196	359	1463
197	359	1457
198	360	1451
199	361	1445
200	362	1440
201	363	1435
202	364	1430
203	366	1428
204	366	1422
205	367	1416
206	368	1410
207	369	1405
208	369	1399
209	370	1394
210	371	1389
211	372	1384
212	373	1379
213	374	1374
214	375	1369
215	375	1364
216	376	1359
217	377	1354
218	378	1350
219	379	1345
220	380	1341
221	381	1336
222	382	1331
223	383	1327
224	384	1323
225	385	1319
226	386	1314
227	386	1310
228	387	1305
229	388	1301
230	389	1296
231	390	1292
232	391	1287
233	392	1283
234	392	1278
235	393	1274
236	394	1269
237	395	1265
238	396	1261
239	396	1256
240	397	1252
241	398	1247
242	399	1243
243	399	1239
244	400	1234
245	401	1230
246	402	1226
247	403	1222
248	403	1218
249	404	1214
250	405	1210
251	406	1206
252	407	1202
253	407	1198
254	408	1194
255	409	1190
256	410	1186
257	411	1182
258	411	1178
259	412	1174
260	413	1170
261	414	1166
262	414	1162
263	415	1158
264	416	1155
265	417	1151
266	418	1147
267	418	1144
268	419	1140
269	420	1136
270	421	1133
271	422	1129
272	422	1126
273	423	1122
274	424	1119
275	425	1115
276	426	1112
277	426	1108
278	427	1105
279	428	1101
280	429	1098
281	430	1094
282	430	1091
283	431	1088
284	432	1085
285	433	1081
286	434	1078
287	434	1075
288	435	1071
289	436	1068
290	437	1065
291	438	1062
292	439	1059
293	439	1056
294	440	1053
295	441	1049
296	442	1046
297	442	1043
298	443	1040
299	444	1037
300	445	1034
301	446	1031
302	446	1027
303	447	1024
304	448	1022
305	449	1019
306	450	1016
307	451	1013
308	452	1010
309	452	1007
310	453	1004
311	454	1001
312	455	998
313	455	995
314	456	993
315	457	990
316	458	987
317	458	984
318	459	981
319	460	978
320	461	976
321	462	973
322	462	970
323	463	967
324	464	964
325	465	962
326	466	959
327	467	956
328	467	954
329	468	951
330	469	948
331	470	946
332	471	943
333	471	940
334	472	938
335	473	935
336	474	933
337	475	930
338	475	927
339	476	925
340	477	922
341	478	920
342	479	917
343	479	915
344	480	912
345	481	910
346	482	907
347	483	905
348	483	902
349	484	899
350	485	897
351	486	894
352	486	892
353	487	889
354	488	887
355	489	884
356	489	882
357	490	880
358	491	877
359	492	875
360	493	873
361	494	870
362	494	868
363	495	866
364	496	863
365	497	861
366	498	859
367	498	856
368	499	854
369	500	852
370	501	849
371	502	847
372	502	845
373	503	843
374	504	841
375	505	838
376	506	836
377	507	834
378	507	832
379	508	829
380	509	827
381	510	825
382	511	823
383	511	821
384	512	818
385	513	816
386	514	814
387	514	812
388	515	809
389	516	807
390	517	805
391	518	803
392	519	801
393	520	799
394	521	797
395	521	795
396	522	793
397	523	791
398	524	789
399	525	787
400	525	785
401	526	783
402	527	781
403	528	779
404	529	777
405	529	775
406	530	773
407	531	771
408	532	769
409	533	767
410	534	765
411	534	763
412	535	761
413	536	759
414	537	757
415	538	755
416	539	753
417	539	751
418	540	749
419	541	747
420	542	745
421	543	743
422	543	741
423	544	740
424	545	738
425	546	736
426	547	734
427	548	732
428	548	730
429	549	728
430	550	726
431	551	724
432	551	722
433	560	730
434	560	728
435	561	726
436	562	724
437	562	722
438	563	720
439	564	718
440	564	715
441	565	713
442	566	711
443	566	709
444	567	707
445	568	705
446	568	703
447	569	701
448	570	699
449	570	697
450	571	696
451	572	694
452	573	692
453	574	690
454	574	688
455	575	687
456	576	685
457	577	683
458	578	681
459	579	680
460	580	678
461	581	676
462	581	674
463	582	673
464	583	671
465	584	669
466	585	668
467	586	666
468	587	665
469	588	663
470	589	661
471	590	660
472	591	658
473	592	657
474	593	655
475	594	654
476	595	652
477	595	650
478	596	648
